genera	positive_size.sbp	positive_estimate.sbp	positive_p.value.sbp	positive_q.value.sbp	positivie_message.sbp	negative_size.sbp	negative_estimate.sbp	negative_p.value.sbp	negative_q.value.sbp	negative_message.sbp	positive_size.dbp	positive_estimate.dbp	positive_p.value.dbp	positive_q.value.dbp	positivie_message.dbp	negative_size.dbp	negative_estimate.dbp	negative_p.value.dbp	negative_q.value.dbp	negative_message.dbp	positive_size.sbp_sd	positive_estimate.sbp_sd	positive_p.value.sbp_sd	positive_q.value.sbp_sd	positivie_message.sbp_sd	negative_size.sbp_sd	negative_estimate.sbp_sd	negative_p.value.sbp_sd	negative_q.value.sbp_sd	negative_message.sbp_sd	positive_size.dbp_sd	positive_estimate.dbp_sd	positive_p.value.dbp_sd	positive_q.value.dbp_sd	positivie_message.dbp_sd	negative_size.dbp_sd	negative_estimate.dbp_sd	negative_p.value.dbp_sd	negative_q.value.dbp_sd	negative_message.dbp_sd
Eisenbergiella	1	0.981828382632547	0.510489510489511	0.978306541942906							1	0.588365080532471	0.72027972027972	1							1	1.09272102103852	0.471528471528472	0.994514257672152							1	1.74262289640522	0.158841158841159	0.941533713810941						
Dorea A	2	1.00914369420668	0.526473526473527	0.978306541942906							2	1.17912952991064	0.376623376623377	0.999342537804076							2	0.783865964194722	0.672327672327672	0.994514257672152							2	1.64351990429951	0.0919080919080919	0.902861844038315						
Holdemania	1	0.950659227628339	0.528471528471529	0.978306541942906		1	1.13357799725107	0.43956043956044	0.978306541942906		1	0.720747223652277	0.652347652347652	0.999342537804076		1	0.414765657403567	0.796203796203796	1		1	0.743050294306195	0.644355644355644	0.994514257672152		1	0.235380654652446	0.881118881118881	0.994514257672152		1	1.17834500614067	0.40959040959041	0.941533713810941		1	1.25710537822475	0.387612387612388	0.941533713810941	
Dialister	1	0.919490072624131	0.537462537462537	0.978306541942906							1	0.7501654776789	0.64035964035964	0.999342537804076												1	0.97094520044134	0.523476523476524	0.994514257672152							1	0.915500655881068	0.556443556443557	0.941533713810941	
Coprococcus	1	0.903905495122027	0.54945054945055	0.978306541942906							1	0.0294182540266236	0.975024975024975	1							1	0.62649338539542	0.691308691308691	0.994514257672152							1	0.497892256115777	0.747252747252747	0.993745385049733						
Anaerostipes	2	0.964265909728738	0.557442557442557	0.978306541942906							2	0.801203398529027	0.671328671328671	1							2	1.67857831842964	0.0559440559440559	0.806526806526806							2	1.17943284565518	0.395604395604396	0.941533713810941						
CAG-217	1	0.872736340117819	0.562437562437563	0.978306541942906												1	0.607335426912366	0.696303696303696	1		1	0.874176816830818	0.581418581418581	0.994514257672152							1	1.26132704882663	0.374625374625375	0.941533713810941						
Sutterella	1	0.841567185113611	0.576423576423577	0.978306541942906												1	0.518457071754459	0.735264735264735	1		1	1.16556908910776	0.432567432567433	0.994514257672152							1	1.14515218906629	0.425574425574426	0.941533713810941						
Parasutterella	1	0.810398030109404	0.585414585414585	0.978306541942906												1	0.237008947087753	0.872127872127872	1		1	1.13642986188006	0.444555444555445	0.994514257672152							1	0.13277126829754	0.924075924075924	0.993878073146366						
Lachnospira	4	0.926953581334422	0.595404595404595	0.978306541942906							3	1.03797393979692	0.47952047952048	0.999342537804076		1	0.370326479824614	0.805194805194805	1		1	1.34040445247392	0.344655344655345	0.994514257672152		3	0.193462351497214	0.983016983016983	0.994514257672152		2	0.707874008042301	0.708291708291708	0.993745385049733		2	0.73555757231322	0.723276723276723	0.993745385049733	
Limivivens	1	0.7948134526073	0.595404595404595	0.978306541942906		2	0.381105057771224	0.895104895104895	0.978306541942906		3	0.30778734986144	0.95004995004995	1							2	0.36123790712404	0.908091908091908	0.994514257672152		1	0.382493563810225	0.815184815184815	0.994514257672152		3	0.374740739591753	0.917082917082917	0.993878073146366						
Parabacteroides	1	0.763644297603092	0.613386613386613	0.978306541942906		1	0.0141697249656384	0.992007992007992	0.99777548033362		1	1.05905714495845	0.491508491508492	0.999342537804076		1	0.281448124666706	0.856143856143856	1		2	0.451547383905051	0.866133866133866	0.994514257672152												2	1.03732478146736	0.488511488511489	0.941533713810941	
Choladocola	3	0.878048487420297	0.639360639360639	0.978306541942906							3	0.785824983946184	0.717282717282717	1							2	0.770162594043661	0.679320679320679	0.994514257672152		1	0.161824200073557	0.918081918081918	0.994514257672152		3	1.03313601993271	0.492507492507493	0.941533713810941						
Flavonifractor	1	0.701305987594676	0.64035964035964	0.978306541942906							1	0.441273810399353	0.776223776223776	1							1	1.77749286088933	0.106893106893107	0.826564739608218							1	1.65964085371926	0.195804195804196	0.941533713810941						
Scatomorpha	1	0.685721410092572	0.64035964035964	0.978306541942906							1	1.13260278002501	0.447552447552448	0.999342537804076												1	1.55939683707245	0.224775224775225	0.994514257672152							1	1.33909051158723	0.347652347652348	0.941533713810941	
KLE1615	1	0.670136832590468	0.649350649350649	0.978306541942906							1	0.603074207545783	0.715284715284715	1							1	1.35497406608777	0.338661338661339	0.994514257672152							1	2.02476184153749	0.030969030969031	0.517182817182817						
Alangreenwoodia	1	0.638967677586261	0.671328671328671	0.978306541942906							1	0.5001103184526	0.757242757242757	1							1	1.66093595197855	0.163836163836164	0.914311494956656							1	0.912802469545591	0.532467532467532	0.941533713810941						
Gemmiger	3	0.775225427868548	0.72027972027972	0.978306541942906		1	0.0991880747594691	0.94005994005994	0.979701021869697		3	1.20987557501019	0.290709290709291	0.999342537804076		1	1.21467085382473	0.398601398601399	0.999342537804076		3	0.615097952998466	0.825174825174825	0.994514257672152		1	0.0441338727473336	0.976023976023976	0.994514257672152		4	0.586315327570805	0.855144855144855	0.993878073146366						
Copromonas	2	0.686031599493988	0.731268731268731	0.978306541942906		1	0.651807348419368	0.681318681318681	0.978306541942906		2	0.166287497807911	0.968031968031968	1		1	0.0592522367719383	0.958041958041958	1		2	1.08371372137212	0.464535464535465	0.994514257672152		1	0.0882677454946672	0.962037962037962	0.994514257672152		3	0.645685387527066	0.79020979020979	0.993745385049733						
Phascolarctobacterium	1	0.529875635071533	0.731268731268731	0.978306541942906												1	0.81471825561415	0.585414585414585	0.999342537804076		1	0.218544204207704	0.893106893106893	0.994514257672152							1	0.165964085371926	0.907092907092907	0.993878073146366						
Ruminococcus C	1	0.498706480067325	0.745254745254745	0.978306541942906												1	0.340700361438644	0.818181818181818	1							1	0.514895182052226	0.755244755244755	0.994514257672152							1	1.51672496720595	0.237762237762238	0.941533713810941	
